Source;Target;Code_Activity;timestamp_start;timestamp_end;Start;End;Cluster
FDGSRVDHTFJRTJRBJZOY;HHWNFJXAQCTLEEPDMWVP;295356;1544655600;1545260400;13/12/2018;20/12/2018;1
FDGSRVDHTFJRTJRBJZOY;HHWNFJXAQCTLEEPDMWVP;295620;1545001200;1546729200;17/12/2018;06/01/2019;1
FDGSRVDHTFJRTJRBJZOY;HHWNFJXAQCTLEEPDMWVP;295616;1543791600;1544914800;03/12/2018;16/12/2018;1
FDGSRVDHTFJRTJRBJZOY;HHWNFJXAQCTLEEPDMWVP;297551;1540159200;1541286000;22/10/2018;04/11/2018;1
FDGSRVDHTFJRTJRBJZOY;HHWNFJXAQCTLEEPDMWVP;295611;1542582000;1543705200;19/11/2018;02/12/2018;1
FDGSRVDHTFJRTJRBJZOY;HHWNFJXAQCTLEEPDMWVP;295624;1546815600;1547938800;07/01/2019;20/01/2019;1
FDGSRVDHTFJRTJRBJZOY;TOJFYAPSUPWYYWMLCDTK;297552;1540332000;1540677600;24/10/2018;28/10/2018;1
FDGSRVDHTFJRTJRBJZOY;TOJFYAPSUPWYYWMLCDTK;295356;1544655600;1545260400;13/12/2018;20/12/2018;1
FDGSRVDHTFJRTJRBJZOY;LWHHZDSUWINEEFCWNWIV;295356;1544655600;1545260400;13/12/2018;20/12/2018;1
FDGSRVDHTFJRTJRBJZOY;LWHHZDSUWINEEFCWNWIV;297551;1540159200;1541286000;22/10/2018;04/11/2018;1
FDGSRVDHTFJRTJRBJZOY;NDSMDKPHOSUJPKQSKIZP;296953;1538776800;1538863200;06/10/2018;07/10/2018;0
FDGSRVDHTFJRTJRBJZOY;XAJXMFEAMXLBPQXELZDG;295356;1544655600;1545260400;13/12/2018;20/12/2018;1
FDGSRVDHTFJRTJRBJZOY;FGTEQHHIZLSLCDRJRABJ;295356;1544655600;1545260400;13/12/2018;20/12/2018;1
FDGSRVDHTFJRTJRBJZOY;WAOXBBWCRNEZXXUPHCXA;296968;1539381600;1539468000;13/10/2018;14/10/2018;0
FDGSRVDHTFJRTJRBJZOY;CRTBEPJIRFIPGRTPNIYR;297556;1540591200;1540591200;27/10/2018;27/10/2018;0
FDGSRVDHTFJRTJRBJZOY;GOIQKRIKYGXFKUFCHXFV;295356;1544655600;1545260400;13/12/2018;20/12/2018;1
WLUWHWVYPXDQHDXGLVQM;FGTEQHHIZLSLCDRJRABJ;295607;1541372400;1542495600;05/11/2018;18/11/2018;1
WLUWHWVYPXDQHDXGLVQM;FGTEQHHIZLSLCDRJRABJ;295616;1543791600;1544914800;03/12/2018;16/12/2018;1
WLUWHWVYPXDQHDXGLVQM;FGTEQHHIZLSLCDRJRABJ;295624;1546815600;1547938800;07/01/2019;20/01/2019;1
WLUWHWVYPXDQHDXGLVQM;FGTEQHHIZLSLCDRJRABJ;297551;1540159200;1541286000;22/10/2018;04/11/2018;1
WLUWHWVYPXDQHDXGLVQM;FGTEQHHIZLSLCDRJRABJ;297552;1540332000;1540677600;24/10/2018;28/10/2018;1
WLUWHWVYPXDQHDXGLVQM;FGTEQHHIZLSLCDRJRABJ;295611;1542582000;1543705200;19/11/2018;02/12/2018;1
WLUWHWVYPXDQHDXGLVQM;FGTEQHHIZLSLCDRJRABJ;295620;1545001200;1546729200;17/12/2018;06/01/2019;1
WLUWHWVYPXDQHDXGLVQM;PDZJWOJFDYZARFWWIXYE;297551;1540159200;1541286000;22/10/2018;04/11/2018;1
WLUWHWVYPXDQHDXGLVQM;FLMKCJKMGHRGRCBWSIDK;296968;1539381600;1539468000;13/10/2018;14/10/2018;0
WLUWHWVYPXDQHDXGLVQM;EOZSUXVGSAJUHZEZBRKH;296953;1538776800;1538863200;06/10/2018;07/10/2018;0
QXVJYICFULMITZVBANDS;WJIWTXLJLLVFFQZYAMCS;295356;1544655600;1545260400;13/12/2018;20/12/2018;6
QXVJYICFULMITZVBANDS;WJIWTXLJLLVFFQZYAMCS;297551;1540159200;1541286000;22/10/2018;04/11/2018;6
QXVJYICFULMITZVBANDS;KOCCLFTPCMVZXIZBHKMQ;297552;1540332000;1540677600;24/10/2018;28/10/2018;0
QXVJYICFULMITZVBANDS;KOCCLFTPCMVZXIZBHKMQ;297551;1540159200;1541286000;22/10/2018;04/11/2018;0
QXVJYICFULMITZVBANDS;UINTWJAMACBNPJSJINOT;295356;1544655600;1545260400;13/12/2018;20/12/2018;6
QXVJYICFULMITZVBANDS;KCJUIGSSUNMNCQCUMWKJ;295356;1544655600;1545260400;13/12/2018;20/12/2018;6
QXVJYICFULMITZVBANDS;HPVXJHVOTBWFQQUDAZJF;295356;1544655600;1545260400;13/12/2018;20/12/2018;6
QXVJYICFULMITZVBANDS;VQLIAOKEQBWPWGBXPNQJ;295356;1544655600;1545260400;13/12/2018;20/12/2018;6
QXVJYICFULMITZVBANDS;UWGBMSAJYRCGLAPPXLRC;295356;1544655600;1545260400;13/12/2018;20/12/2018;6
QXVJYICFULMITZVBANDS;WAFSWQQTAYCMKOZRHMAU;295356;1544655600;1545260400;13/12/2018;20/12/2018;6
URBAQDNPQJNRWSJVRCCB;FGEJVTSQEXMTNBHJLEUF;295356;1544655600;1545260400;13/12/2018;20/12/2018;4
URBAQDNPQJNRWSJVRCCB;FGEJVTSQEXMTNBHJLEUF;297556;1540591200;1540591200;27/10/2018;27/10/2018;4
URBAQDNPQJNRWSJVRCCB;TGJUCKGLTKMUOCFERSKT;295356;1544655600;1545260400;13/12/2018;20/12/2018;4
URBAQDNPQJNRWSJVRCCB;LAZLTXUZZOELCVBJRAQC;295356;1544655600;1545260400;13/12/2018;20/12/2018;4
URBAQDNPQJNRWSJVRCCB;XXSSYDNXWFTBFHOJIAGA;295356;1544655600;1545260400;13/12/2018;20/12/2018;4
