Source;Target;Code_Activity;timestamp_start;timestamp_end;Start;End;Cluster
ZFADPBOTKXEPBUBGMIBZ;MSPRZEMHGUNBUKKAAQOM;295452;1544655600;1545260400;13/12/2018;20/12/2018;1
ZFADPBOTKXEPBUBGMIBZ;MSPRZEMHGUNBUKKAAQOM;297647;1540159200;1541286000;22/10/2018;04/11/2018;1
ZFADPBOTKXEPBUBGMIBZ;WOTYJDKZUPJDDYUERRWW;295791;1541372400;1542495600;05/11/2018;18/11/2018;0
ZFADPBOTKXEPBUBGMIBZ;MJOEIDKFZIUSAYCXHRTA;297647;1540159200;1541286000;22/10/2018;04/11/2018;0
ZFADPBOTKXEPBUBGMIBZ;EOEMLUUNGTVNENUTZKAQ;295452;1544655600;1545260400;13/12/2018;20/12/2018;1
ZFADPBOTKXEPBUBGMIBZ;SXVXPARDBFJCDUDWZICN;295452;1544655600;1545260400;13/12/2018;20/12/2018;1
ZFADPBOTKXEPBUBGMIBZ;VTKQGLUHXOHHAMISPPLD;295452;1544655600;1545260400;13/12/2018;20/12/2018;1
ZFADPBOTKXEPBUBGMIBZ;OMJTSMLIYFYPBYAFWHCM;297648;1540332000;1540677600;24/10/2018;28/10/2018;1
ZFADPBOTKXEPBUBGMIBZ;NDZMTGOWNOPOAFUVMENH;295452;1544655600;1545260400;13/12/2018;20/12/2018;1
ZFADPBOTKXEPBUBGMIBZ;ZTBSGVTHMNXURFXCDWOL;295452;1544655600;1545260400;13/12/2018;20/12/2018;1
LKKXSKMLONDLLGQTAWTP;NWQUWDVGRIJCEZCDNTBS;295808;1546815600;1547938800;07/01/2019;20/01/2019;3
LKKXSKMLONDLLGQTAWTP;NWQUWDVGRIJCEZCDNTBS;295797;1543186800;1544310000;26/11/2018;09/12/2018;3
LKKXSKMLONDLLGQTAWTP;NWQUWDVGRIJCEZCDNTBS;295795;1542582000;1543705200;19/11/2018;02/12/2018;3
LKKXSKMLONDLLGQTAWTP;NWQUWDVGRIJCEZCDNTBS;295452;1544655600;1545260400;13/12/2018;20/12/2018;3
LKKXSKMLONDLLGQTAWTP;GGQBRUJBDDQRBDMNHFOU;295791;1541372400;1542495600;05/11/2018;18/11/2018;3
LKKXSKMLONDLLGQTAWTP;GGQBRUJBDDQRBDMNHFOU;297648;1540332000;1540677600;24/10/2018;28/10/2018;3
LKKXSKMLONDLLGQTAWTP;GGQBRUJBDDQRBDMNHFOU;297647;1540159200;1541286000;22/10/2018;04/11/2018;3
LKKXSKMLONDLLGQTAWTP;GGQBRUJBDDQRBDMNHFOU;295452;1544655600;1545260400;13/12/2018;20/12/2018;3
LKKXSKMLONDLLGQTAWTP;AYCJLXEKECQWDEMHJHKS;295452;1544655600;1545260400;13/12/2018;20/12/2018;3
LKKXSKMLONDLLGQTAWTP;AYCJLXEKECQWDEMHJHKS;295810;1547420400;1548543600;14/01/2019;27/01/2019;3
LKKXSKMLONDLLGQTAWTP;AYCJLXEKECQWDEMHJHKS;295800;1543791600;1544914800;03/12/2018;16/12/2018;3
LKKXSKMLONDLLGQTAWTP;HHGGBJKCNSSIESDCMNVZ;297281;1538776800;1538863200;06/10/2018;07/10/2018;0
