Source;Target;Code_Activity;timestamp_start;timestamp_end;Start;End;Cluster
WQOMQHFAUJKHHPHADSRV;LKMHVYSGBRMJQLLAPKLA;295332;1544655600;1545174000;13/12/2018;19/12/2018;1
WQOMQHFAUJKHHPHADSRV;LKMHVYSGBRMJQLLAPKLA;295561;1541372400;1542495600;05/11/2018;18/11/2018;1
WQOMQHFAUJKHHPHADSRV;LKMHVYSGBRMJQLLAPKLA;295570;1543791600;1544914800;03/12/2018;16/12/2018;1
WQOMQHFAUJKHHPHADSRV;LKMHVYSGBRMJQLLAPKLA;295574;1545001200;1546729200;17/12/2018;06/01/2019;1
WQOMQHFAUJKHHPHADSRV;LKMHVYSGBRMJQLLAPKLA;297527;1540159200;1541286000;22/10/2018;04/11/2018;1
WQOMQHFAUJKHHPHADSRV;LKMHVYSGBRMJQLLAPKLA;295565;1542582000;1543705200;19/11/2018;02/12/2018;1
WQOMQHFAUJKHHPHADSRV;LKMHVYSGBRMJQLLAPKLA;295567;1543791600;1544310000;03/12/2018;09/12/2018;1
WQOMQHFAUJKHHPHADSRV;EFJUBPSLKDWPXYVZCKUC;297527;1540159200;1541286000;22/10/2018;04/11/2018;1
WQOMQHFAUJKHHPHADSRV;EFJUBPSLKDWPXYVZCKUC;295332;1544655600;1545174000;13/12/2018;19/12/2018;1
WQOMQHFAUJKHHPHADSRV;BWTTFWKEPNEPHNMXCSNB;296871;1538776800;1538863200;06/10/2018;07/10/2018;0
WQOMQHFAUJKHHPHADSRV;RXKQWGEWITZELRGIUGWD;295578;1546815600;1547938800;07/01/2019;20/01/2019;0
WQOMQHFAUJKHHPHADSRV;XEBATCZBIKHBJSSMVIFA;295332;1544655600;1545174000;13/12/2018;19/12/2018;1
WQOMQHFAUJKHHPHADSRV;HBJKGDRLZODGBEFMTHBW;296886;1539381600;1539468000;13/10/2018;14/10/2018;0
WQOMQHFAUJKHHPHADSRV;FLMLSKRJQVKVXLQRTOOT;297528;1540332000;1540677600;24/10/2018;28/10/2018;0
WQOMQHFAUJKHHPHADSRV;ZHASRWZEQTEKMBGHRKFE;295332;1544655600;1545174000;13/12/2018;19/12/2018;1
WQOMQHFAUJKHHPHADSRV;QOHMXTAMZMLKRNOOWUJX;295332;1544655600;1545174000;13/12/2018;19/12/2018;1
WQOMQHFAUJKHHPHADSRV;QEWTPGOTTVHBQYPGTHCW;295332;1544655600;1545174000;13/12/2018;19/12/2018;1
KUUWRBHEPUTBSYSFJHUM;BHSAKWGFMOCWWKNZRNOP;296871;1538776800;1538863200;06/10/2018;07/10/2018;5
KUUWRBHEPUTBSYSFJHUM;NDHSPWULSJKASCKIFTXT;295332;1544655600;1545174000;13/12/2018;19/12/2018;5
KUUWRBHEPUTBSYSFJHUM;UEEMBMPZOOLQOWHQVQOB;297527;1540159200;1541286000;22/10/2018;04/11/2018;5
KUUWRBHEPUTBSYSFJHUM;GUUIHSADLNSWDJPZNRHW;297532;1540591200;1540591200;27/10/2018;27/10/2018;0
KUUWRBHEPUTBSYSFJHUM;FBPUXCSRSGPAKDKMYXVR;295332;1544655600;1545174000;13/12/2018;19/12/2018;5
KUUWRBHEPUTBSYSFJHUM;IGGEBGRHMMBLFSGQBCWP;297532;1540591200;1540591200;27/10/2018;27/10/2018;0
KUUWRBHEPUTBSYSFJHUM;DGRYABITCRVLVWSETMBE;295332;1544655600;1545174000;13/12/2018;19/12/2018;5
GMAZXXPJTTUYCDVBHMHJ;MDFVPRMFJYNDZQUNHVRC;297528;1540332000;1540677600;24/10/2018;28/10/2018;3
GMAZXXPJTTUYCDVBHMHJ;MDFVPRMFJYNDZQUNHVRC;295561;1541372400;1542495600;05/11/2018;18/11/2018;3
GMAZXXPJTTUYCDVBHMHJ;MDFVPRMFJYNDZQUNHVRC;295570;1543791600;1544914800;03/12/2018;16/12/2018;3
GMAZXXPJTTUYCDVBHMHJ;MDFVPRMFJYNDZQUNHVRC;295574;1545001200;1546729200;17/12/2018;06/01/2019;3
GMAZXXPJTTUYCDVBHMHJ;MDFVPRMFJYNDZQUNHVRC;297527;1540159200;1541286000;22/10/2018;04/11/2018;3
GMAZXXPJTTUYCDVBHMHJ;MDFVPRMFJYNDZQUNHVRC;295580;1548025200;1548543600;21/01/2019;27/01/2019;3
GMAZXXPJTTUYCDVBHMHJ;MDFVPRMFJYNDZQUNHVRC;295565;1542582000;1543705200;19/11/2018;02/12/2018;3
GMAZXXPJTTUYCDVBHMHJ;MDFVPRMFJYNDZQUNHVRC;295332;1544655600;1545174000;13/12/2018;19/12/2018;3
GMAZXXPJTTUYCDVBHMHJ;MDFVPRMFJYNDZQUNHVRC;295567;1543791600;1544310000;03/12/2018;09/12/2018;3
GMAZXXPJTTUYCDVBHMHJ;MDFVPRMFJYNDZQUNHVRC;295578;1546815600;1547938800;07/01/2019;20/01/2019;3
GMAZXXPJTTUYCDVBHMHJ;AZSLPAIGSHPDNYGBFIIR;297532;1540591200;1540591200;27/10/2018;27/10/2018;0
GMAZXXPJTTUYCDVBHMHJ;FZUDPDGAIWWTMZZWGBVT;295332;1544655600;1545174000;13/12/2018;19/12/2018;3
GMAZXXPJTTUYCDVBHMHJ;GTQOUTWHBRRJWJHJPHRG;295332;1544655600;1545174000;13/12/2018;19/12/2018;3
GMAZXXPJTTUYCDVBHMHJ;FPOEGLEBZSLRCJHJAOMT;296871;1538776800;1538863200;06/10/2018;07/10/2018;0
GMAZXXPJTTUYCDVBHMHJ;ZGAMMCAKLFAIIOQJEHNV;297527;1540159200;1541286000;22/10/2018;04/11/2018;0
